,team,position,Height,Weight,Birthdate,Full_name,age,First_name,Last_name,player
0,NY,F,"6'7""",240,10/06/1990, Quincy  Acy,26.5653661875,Quincy,Acy,Q. AcyQ. Acy
1,MEM,SG,"6'5""",209,7/08/1994, Jordan  Adams,22.8117727584,Jordan,Adams,J. AdamsJ. Adams
2,OKC,C,"7'0""",255,7/20/1993, Steven  Adams,23.7782340862,Steven,Adams,S. AdamsS. Adams
3,MIN,F,"6'7""",245,2/10/1986, Jeff  Adrien,31.2169746749,Jeff,Adrien,J. AdrienJ. Adrien
4,POR,G/F,"6'5""",215,10/15/1985, Arron  Afflalo,31.5400410678,Arron,Afflalo,A. AfflaloA. Afflalo
5,NO,F/C,"7'0""",248,5/06/1988, Alexis  Ajinca,28.9828884326,Alexis,Ajinca,A. AjincaA. Ajinca
6,FA,G,"6'5""",194,4/16/1987, Cenk  Akyol,30.0396988364,Cenk,Akyol,C. AkyolC. Akyol
7,PHI,PF,"6'9""",220,8/09/1991, Furkan  Aldemir,25.7248459959,Furkan,Aldemir,F. AldemirF. Aldemir
8,NY,C,"6'11""",245,10/31/1988, Cole  Aldrich,28.4955509925,Cole,Aldrich,C. AldrichC. Aldrich
9,POR,F/C,"6'11""",260,7/19/1985, LaMarcus  Aldridge,31.780971937,LaMarcus,Aldridge,L. AldridgeL. Aldridge
10,IND,F/C,"6'9""",260,2/04/1989, Lavoy  Allen,28.2327173169,Lavoy,Allen,L. AllenL. Allen
11,FA,SG,"6'5""",205,7/20/1975, Ray  Allen,41.7796030116,Ray,Allen,R. AllenR. Allen
12,MEM,G/F,"6'4""",213,1/11/1982, Tony  Allen,35.2991101985,Tony,Allen,T. AllenT. Allen
13,DAL,SF,"6'9""",220,9/21/1990, Al-Farouq  Aminu,26.6064339493,Al-Farouq,Aminu,A. AminuA. Aminu
14,NY,PF,"6'9""",225,12/07/1982, Louis  Amundson,34.3956194387,Louis,Amundson,L. AmundsonL. Amundson
15,MIA,F/C,"6'10""",245,7/07/1978, Chris  Andersen,38.8145106092,Chris,Andersen,C. AndersenC. Andersen
16,BKN,G/F,"6'6""",220,10/16/1982, Alan  Anderson,34.5379876797,Alan,Anderson,A. AndersonA. Anderson
17,FA,G/F,"6'6""",215,3/25/1989, James  Anderson,28.0985626283,James,Anderson,J. AndersonJ. Anderson
18,SA,SF,"6'9""",230,9/20/1993, Kyle  Anderson,23.6084873374,Kyle,Anderson,K. AndersonK. Anderson
19,NO,F/C,"6'10""",240,5/06/1988, Ryan  Anderson,28.9828884326,Ryan,Anderson,R. AndersonR. Anderson
20,MIL,F,"6'11""",217,12/06/1994, Giannis  Antetokounmpo,22.3983572895,Giannis,Antetokounmpo,G. AntetokounmpoG. Antetokounmpo
21,FA,SF,"6'7""",215,7/17/1992, Thanasis  Antetokounmpo,24.7857631759,Thanasis,Antetokounmpo,T. AntetokounmpoT. Antetokounmpo
