,team,position,Height,Weight,Birthdate,Full_name,age,First_name,Last_name,player
0,OKC,SG,"6'6""",190,8/01/1993, Alex  Abrines,23.7344284736,Alex,Abrines,A. AbrinesA. Abrines
1,BKN,F,"6'7""",240,10/06/1990, Quincy  Acy,26.5544147844,Quincy,Acy,Q. AcyQ. Acy
2,FA,SG,"6'5""",209,7/08/1994, Jordan  Adams,22.8008213552,Jordan,Adams,J. AdamsJ. Adams
3,OKC,C,"7'0""",255,7/20/1993, Steven  Adams,23.7672826831,Steven,Adams,S. AdamsS. Adams
4,SAC,G/F,"6'5""",210,10/15/1985, Arron  Afflalo,31.5290896646,Arron,Afflalo,A. AfflaloA. Afflalo
5,NO,F/C,"7'2""",248,5/06/1988, Alexis  Ajinca,28.9719370294,Alexis,Ajinca,A. AjincaA. Ajinca
6,MIN,C,"6'11""",250,10/31/1988, Cole  Aldrich,28.4845995893,Cole,Aldrich,C. AldrichC. Aldrich
7,SA,F/C,"6'11""",260,7/19/1985, LaMarcus  Aldridge,31.7700205339,LaMarcus,Aldridge,L. AldridgeL. Aldridge
8,FA,PF,"6'8""",245,11/16/1995, Cliff  Alexander,21.4428473648,Cliff,Alexander,C. AlexanderC. Alexander
9,IND,F/C,"6'9""",260,2/04/1989, Lavoy  Allen,28.2217659138,Lavoy,Allen,L. AllenL. Allen
10,MEM,G/F,"6'4""",213,1/11/1982, Tony  Allen,35.2881587953,Tony,Allen,T. AllenT. Allen
11,POR,F,"6'9""",220,9/21/1990, Al-Farouq  Aminu,26.5954825462,Al-Farouq,Aminu,A. AminuA. Aminu
12,FA,PF,"6'9""",225,12/07/1982, Louis  Amundson,34.3846680356,Louis,Amundson,L. AmundsonL. Amundson
13,CHA,F/C,"6'10""",245,7/07/1978, Chris  Andersen,38.803559206,Chris,Andersen,C. AndersenC. Andersen
14,LAC,G/F,"6'6""",220,10/16/1982, Alan  Anderson,34.5270362765,Alan,Anderson,A. AndersonA. Anderson
15,FA,G/F,"6'6""",215,3/25/1989, James  Anderson,28.0876112252,James,Anderson,J. AndersonJ. Anderson
16,PHI,SF,"6'6""",228,11/19/1993, Justin  Anderson,23.4332648871,Justin,Anderson,J. AndersonJ. Anderson
17,SA,G/F,"6'9""",230,9/20/1993, Kyle  Anderson,23.5975359343,Kyle,Anderson,K. AndersonK. Anderson
18,HOU,F/C,"6'10""",240,5/06/1988, Ryan  Anderson,28.9719370294,Ryan,Anderson,R. AndersonR. Anderson
19,FA,PG,"6'2""",200,5/25/1993, Andrew  Andrews,23.9206023272,Andrew,Andrews,A. AndrewsA. Andrews
20,MIL,F,"6'11""",222,12/06/1994, Giannis  Antetokounmpo,22.3874058864,Giannis,Antetokounmpo,G. AntetokounmpoG. Antetokounmpo
21,NY,F,"6'8""",240,5/29/1984, Carmelo  Anthony,32.9089664613,Carmelo,Anthony,C. AnthonyC. Anthony
22,SA,F/C,"6'9""",245,8/09/1982, Joel  Anthony,34.71321013,Joel,Anthony,J. AnthonyJ. Anthony
23,FA,PG,"6'3""",195,3/26/1994, Ryan  Arcidiacono,23.0855578371,Ryan,Arcidiacono,R. ArcidiaconoR. Arcidiacono
24,HOU,G/F,"6'8""",215,6/30/1985, Trevor  Ariza,31.8220396988,Trevor,Ariza,T. ArizaT. Ariza
25,DEN,F/C,"6'9""",235,3/25/1988, Darrell  Arthur,29.0869267625,Darrell,Arthur,D. ArthurD. Arthur
26,NO,F/C,"7'0""",255,7/04/1986, Omer  Asik,30.8117727584,Omer,Asik,O. AsikO. Asik
27,FA,PF,"6'10""",245,7/08/1993, Zach  Auguste,23.8001368925,Zach,Auguste,Z. AugusteZ. Auguste
28,ORL,PG,"6'0""",183,11/10/1987, D.J.  Augustin,29.4592744695,D.J.,Augustin,D. AugustinD. Augustin
